"date","code","region","name","AE_att_T1","AE_att_T2","AE_att_T3","AE_att_tot","AE_more4_T1","AE_more4_T2","AE_more4_T3","AE_more4_tot","AE_per4_T1","AE_per4_all","Em_adm_AE_T1","Em_adm_AE_T2","Em_adm_AE_T34","Em_adm_AE_tot","Em_adm_other","Em_adm_tot","Em_pat_adm_more4","Em_pat_adm_more12","time_period","file_name","day_num"
2025-03-01,"AD913","NHS England London","Beckenham Beacon Ucc",0,0,4089,4089,0,0,11,11,NA,0.997309855710443,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RYX","NHS England London","Central London Community Healthcare NHS Trust",0,0,13349,13349,0,0,416,416,NA,0.968836616975054,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RQM","NHS England London","Chelsea And Westminster Hospital NHS Foundation Trust",20669,0,6486,27155,5353,0,102,5455,0.741013111422904,0.799116184864666,2869,0,0,2869,307,3176,988,55,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJ6","NHS England London","Croydon Health Services NHS Trust",13255,0,5119,18374,3289,0,0,3289,0.751867219917012,0.820997061064548,1214,0,0,1214,118,1332,1005,701,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RVR","NHS England London","Epsom And St Helier University Hospitals NHS Trust",11860,328,1530,13718,3440,0,109,3549,0.709949409780776,0.741288817611897,1911,3,0,1914,188,2102,959,706,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJ1","NHS England London","Guy's And St Thomas' NHS Foundation Trust",10247,727,7130,18104,3568,12,199,3779,0.651800526983507,0.791261599646487,2054,0,0,2054,220,2274,190,71,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"K6K0R","NHS England London","Harold Wood Polyclinic Utc",0,0,2364,2364,0,0,5,5,NA,0.997884940778342,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RQX","NHS England London","Homerton Healthcare NHS Foundation Trust",11231,0,0,11231,1927,0,0,1927,0.828421333808209,0.828421333808209,1842,0,0,1842,349,2191,228,22,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RYJ","NHS England London","Imperial College Healthcare NHS Trust",12089,3928,7706,23723,5333,45,349,5727,0.558855157581272,0.758588711377144,3707,1,0,3708,1110,4818,1037,387,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJZ","NHS England London","King's College Hospital NHS Foundation Trust",15770,0,10720,26490,6803,0,563,7366,0.56861128725428,0.721932804832012,3585,0,0,3585,366,3951,2367,926,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAX","NHS England London","Kingston And Richmond NHS Foundation Trust",7332,0,8910,16242,3271,0,273,3544,0.553873431533006,0.781800270902598,2435,0,278,2713,322,3035,679,406,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJ2","NHS England London","Lewisham And Greenwich NHS Trust",15526,0,10605,26131,8134,0,817,8951,0.476104598737602,0.657456660671233,5027,0,0,5027,1262,6289,2172,854,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"R1K","NHS England London","London North West University Healthcare NHS Trust",14125,0,15651,29776,6324,0,194,6518,0.552283185840708,0.781098871574422,6751,0,0,6751,336,7087,1001,367,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RP6","NHS England London","Moorfields Eye Hospital NHS Foundation Trust",0,5789,0,5789,0,92,0,92,NA,0.984107790637416,0,6,0,6,202,208,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAT","NHS England London","North East London NHS Foundation Trust",0,0,2006,2006,0,0,75,75,NA,0.962612163509472,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAL","NHS England London","Royal Free London NHS Foundation Trust",25567,541,16868,42976,9852,6,972,10830,0.61465952204013,0.747998883097543,4698,0,51,4749,779,5528,3040,1838,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAN","NHS England London","Royal National Orthopaedic Hospital NHS Trust",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,27,27,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJ7","NHS England London","St George's University Hospitals NHS Foundation Trust",9841,0,3515,13356,2185,0,0,2185,0.77796971852454,0.836403114705002,2738,0,0,2738,793,3531,1181,780,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAS","NHS England London","The Hillingdon Hospitals NHS Foundation Trust",6236,0,6892,13128,3123,0,56,3179,0.499198203976908,0.757845825716027,1883,0,0,1883,57,1940,835,69,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"Y03218","NHS England London","The Pinn Unregistered Wic",0,0,603,603,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RRV","NHS England London","University College London Hospitals NHS Foundation Trust",13948,0,0,13948,3789,0,0,3789,0.72834815027244,0.72834815027244,1443,0,0,1443,276,1719,465,80,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"Y02147","NHS England London","Urgent Care Centre (Qms)",0,0,8643,8643,0,0,184,184,NA,0.978711095684369,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RKE","NHS England London","Whittington Health NHS Trust",9282,0,0,9282,2600,0,0,2600,0.719887955182073,0.719887955182073,1364,0,0,1364,39,1403,339,71,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NL7","NHS England Midlands","Assura Vertis Urgent Care Centres (Birmingham)",0,0,3164,3164,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"8J094","NHS England Midlands","Badger Ltd",0,0,1438,1438,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RQ3","NHS England Midlands","Birmingham Women's And Children's NHS Foundation Trust",5330,0,0,5330,656,0,0,656,0.876923076923077,0.876923076923077,1091,0,0,1091,151,1242,7,7,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RFS","NHS England Midlands","Chesterfield Royal Hospital NHS Foundation Trust",7422,0,6913,14335,3761,0,423,4184,0.49326327135543,0.708126961981165,2725,0,289,3014,696,3710,990,167,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RYG","NHS England Midlands","Coventry And Warwickshire Partnership NHS Trust",0,0,0,0,0,0,0,0,NA,NA,0,0,3,3,71,74,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RY8","NHS England Midlands","Derbyshire Community Health Services NHS Foundation Trust",0,0,9607,9607,0,0,129,129,NA,0.986572291037785,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ","NHS England Midlands","Dhu Health Care C.I.C",0,0,2055,2055,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"Y03007","NHS England Midlands","Erdington GP Health & Wellbeing Wic",0,0,1942,1942,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RLT","NHS England Midlands","George Eliot Hospital NHS Trust",7182,0,1690,8872,2920,0,65,2985,0.593428014480646,0.663548241659152,1093,0,0,1093,1,1094,791,338,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RNQ","NHS England Midlands","Kettering General Hospital NHS Foundation Trust",10604,0,8943,19547,3696,0,174,3870,0.651452282157676,0.80201565457615,1799,0,0,1799,294,2093,1304,891,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"C82038","NHS England Midlands","Latham House Medical Practice",0,0,350,350,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RY5","NHS England Midlands","Lincolnshire Community Health Services NHS Trust",0,0,8775,8775,0,0,250,250,NA,0.971509971509972,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ0H","NHS England Midlands","Llr Ea - The Merlyn Vaz Health & Social Care Centre",0,0,2412,2412,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ07","NHS England Midlands","Loughborough Urgent Care Centre",0,0,8172,8172,0,0,28,28,NA,0.99657366617719,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ12","NHS England Midlands","Market Harborough",0,0,581,581,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"C82009","NHS England Midlands","Market Harborough Med.Ctr",0,0,315,315,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ13","NHS England Midlands","Melton Mowbray",0,0,451,451,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"A5D4Q","NHS England Midlands","Nems Utc",0,0,3681,3681,0,0,1464,1464,NA,0.602281988590057,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RNS","NHS England Midlands","Northampton General Hospital NHS Trust",10470,527,2603,13600,4372,15,268,4655,0.582425978987584,0.657720588235294,2348,0,0,2348,891,3239,1336,674,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NR3","NHS England Midlands","Nottingham Citycare Partnership",0,0,6067,6067,0,0,721,721,NA,0.881160375803527,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RX1","NHS England Midlands","Nottingham University Hospitals NHS Trust",13574,1817,567,15958,7275,82,141,7498,0.464048917047296,0.530141621757112,4380,184,0,4564,4583,9147,743,533,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ14","NHS England Midlands","Oadby",0,0,3850,3850,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNJ15","NHS England Midlands","Oakham",0,0,406,406,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RXK","NHS England Midlands","Sandwell And West Birmingham Hospitals NHS Trust",11907,1150,8616,21673,4955,133,328,5416,0.583858234651885,0.750103815807687,2710,0,0,2710,543,3253,1050,231,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RK5","NHS England Midlands","Sherwood Forest Hospitals NHS Foundation Trust",11777,0,6260,18037,3938,0,540,4478,0.665619427698055,0.751732549758829,3904,0,2,3906,303,4209,542,63,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"R1D","NHS England Midlands","Shropshire Community Health NHS Trust",0,0,3251,3251,0,0,6,6,NA,0.998154414026453,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"C83023","NHS England Midlands","Sleaford Medical Group",0,0,540,540,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"Y02615","NHS England Midlands","South Birmingham GP Walk In Centre",0,0,7113,7113,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJC","NHS England Midlands","South Warwickshire University NHS Foundation Trust",8483,0,378,8861,2732,0,0,2732,0.6779441235412,0.691682654327954,2303,0,0,2303,877,3180,521,47,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NQTE4","NHS England Midlands","Summerfield Urgent Care Centre",0,0,3151,3151,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RNA","NHS England Midlands","The Dudley Group NHS Foundation Trust",10115,0,5222,15337,2893,0,99,2992,0.71398912506179,0.804916215687553,3716,0,0,3716,2467,6183,2072,112,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RL1","NHS England Midlands","The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RL4","NHS England Midlands","The Royal Wolverhampton NHS Trust",13055,0,9481,22536,3933,0,214,4147,0.698736116430486,0.815983315583955,5766,0,0,5766,1046,6812,1454,472,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RXW","NHS England Midlands","The Shrewsbury And Telford Hospital NHS Trust",11111,0,2873,13984,6350,0,295,6645,0.428494284942849,0.524814073226545,3147,0,220,3367,2165,5532,1830,1390,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWD","NHS England Midlands","United Lincolnshire Teaching Hospitals NHS Trust",16558,0,3931,20489,5812,0,417,6229,0.648991424085034,0.695983210503197,4894,0,0,4894,1137,6031,1647,573,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RRK","NHS England Midlands","University Hospitals Birmingham NHS Foundation Trust",34819,357,2126,37302,13817,0,74,13891,0.603176426663603,0.627607098815077,10425,0,0,10425,7034,17459,4549,1690,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RKB","NHS England Midlands","University Hospitals Coventry And Warwickshire NHS Trust",12494,1602,6644,20740,5333,133,297,5763,0.573155114454938,0.722131147540984,1598,31,55,1684,638,2322,110,14,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RTG","NHS England Midlands","University Hospitals Of Derby And Burton NHS Foundation Trust",21365,0,9978,31343,9189,0,3,9192,0.569904048677744,0.706728775165109,4191,0,3,4194,1939,6133,1751,704,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWE","NHS England Midlands","University Hospitals Of Leicester NHS Trust",22642,2150,0,24792,9943,237,0,10180,0.560860348025793,0.589383672152307,6467,3,0,6470,3646,10116,2508,901,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJE","NHS England Midlands","University Hospitals Of North Midlands NHS Trust",15475,541,9397,25413,8289,0,712,9001,0.464361873990307,0.645811198992642,5761,0,0,5761,2936,8697,1937,851,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RBK","NHS England Midlands","Walsall Healthcare NHS Trust",9339,0,4711,14050,3356,0,114,3470,0.640646750187386,0.753024911032029,3856,0,0,3856,817,4673,1269,312,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWP","NHS England Midlands","Worcestershire Acute Hospitals NHS Trust",13805,0,6203,20008,6738,0,71,6809,0.511915972473741,0.65968612554978,2693,0,0,2693,861,3554,1656,731,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RLQ","NHS England Midlands","Wye Valley NHS Trust",6308,1157,158,7623,2803,0,0,2803,0.55564362714014,0.63229699593336,1461,0,0,1461,151,1612,708,293,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RCF","NHS England North East And Yorkshire","Airedale NHS Foundation Trust",6433,232,0,6665,2541,0,0,2541,0.605005440696409,0.618754688672168,1521,0,0,1521,521,2042,663,223,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RFF","NHS England North East And Yorkshire","Barnsley Hospital NHS Foundation Trust",9293,0,0,9293,1838,0,0,1838,0.80221672226407,0.80221672226407,3249,0,0,3249,530,3779,229,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RAE","NHS England North East And Yorkshire","Bradford Teaching Hospitals NHS Foundation Trust",9248,1045,3252,13545,2305,0,3,2308,0.750756920415225,0.829605020302695,2612,0,35,2647,1429,4076,784,97,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNF09","NHS England North East And Yorkshire","Bransholme Health Centre",0,0,3661,3661,0,0,575,575,NA,0.842939087680962,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNF16","NHS England North East And Yorkshire","Bridlington Hospital",0,0,1464,1464,0,0,63,63,NA,0.956967213114754,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWY","NHS England North East And Yorkshire","Calderdale And Huddersfield NHS Foundation Trust",16307,0,0,16307,2976,0,0,2976,0.817501686392347,0.817501686392347,2750,0,0,2750,209,2959,905,20,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RXP","NHS England North East And Yorkshire","County Durham And Darlington NHS Foundation Trust",13515,0,12233,25748,5213,0,0,5213,0.614280429152793,0.797537672828958,4479,0,0,4479,783,5262,1844,13,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RP5","NHS England North East And Yorkshire","Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust",14073,0,4384,18457,4642,0,21,4663,0.67014851133376,0.747358725686731,3831,0,429,4260,1055,5315,1083,118,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNF94","NHS England North East And Yorkshire","East Riding Community Hospital",0,0,2943,2943,0,0,287,287,NA,0.90248046211349,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RR7","NHS England North East And Yorkshire","Gateshead Health NHS Foundation Trust",5903,0,4000,9903,2489,0,32,2521,0.578349991529731,0.745430677572453,1598,0,0,1598,52,1650,839,2,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"NNFA7","NHS England North East And Yorkshire","Goole & District Hospital",0,0,1680,1680,0,0,20,20,NA,0.988095238095238,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RCD","NHS England North East And Yorkshire","Harrogate And District NHS Foundation Trust",5491,0,1014,6505,1371,0,1,1372,0.750318703332726,0.789085318985396,1150,0,0,1150,315,1465,409,23,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RWA","NHS England North East And Yorkshire","Hull University Teaching Hospitals NHS Trust",9198,0,5279,14477,5401,0,606,6007,0.412807131985214,0.585065966705809,3486,0,0,3486,2346,5832,1546,536,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RV9","NHS England North East And Yorkshire","Humber Teaching NHS Foundation Trust",0,0,1076,1076,0,0,10,10,NA,0.990706319702602,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RR8","NHS England North East And Yorkshire","Leeds Teaching Hospitals NHS Trust",18023,741,12822,31586,6494,0,51,6545,0.639682627753426,0.792787944025834,3721,0,0,3721,1180,4901,2015,299,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"ARN03","NHS England North East And Yorkshire","Local Care Direct",0,0,2452,2452,0,0,9,9,NA,0.996329526916803,0,0,0,0,0,0,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RXF","NHS England North East And Yorkshire","Mid Yorkshire Teaching NHS Trust",17228,154,6268,23650,6475,0,510,6985,0.624158346877177,0.704651162790698,3671,0,179,3850,909,4759,2313,277,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RNN","NHS England North East And Yorkshire","North Cumbria Integrated Care NHS Foundation Trust",9237,0,1957,11194,3967,0,25,3992,0.570531557865108,0.643380382347686,2440,0,0,2440,735,3175,1071,482,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RVW","NHS England North East And Yorkshire","North Tees And Hartlepool NHS Foundation Trust",5014,0,11944,16958,2394,0,47,2441,0.52253689668927,0.856056138695601,1715,0,566,2281,2543,4824,172,8,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RJL","NHS England North East And Yorkshire","Northern Lincolnshire And Goole NHS Foundation Trust",9197,0,7778,16975,4766,0,70,4836,0.481787539415027,0.715110456553755,5717,0,0,5717,498,6215,1329,653,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RTF","NHS England North East And Yorkshire","Northumbria Healthcare NHS Foundation Trust",10277,0,13291,23568,2532,0,6,2538,0.753624598618274,0.892311608961303,4278,0,18,4296,473,4769,35,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RCU","NHS England North East And Yorkshire","Sheffield Children's NHS Foundation Trust",5181,0,449,5630,531,0,0,531,0.897510133178923,0.905683836589698,1106,0,0,1106,75,1181,7,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RHQ","NHS England North East And Yorkshire","Sheffield Teaching Hospitals NHS Foundation Trust",9454,1210,8345,19009,4847,0,266,5113,0.487306960016924,0.731022147403861,3814,0,0,3814,3186,7000,1007,5,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RTR","NHS England North East And Yorkshire","South Tees Hospitals NHS Foundation Trust",7561,0,11168,18729,3994,0,580,4574,0.471762994312922,0.755779806716856,2678,0,127,2805,2448,5253,283,7,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"R0B","NHS England North East And Yorkshire","South Tyneside And Sunderland NHS Foundation Trust",12249,1338,7763,21350,5159,25,303,5487,0.578822761041718,0.742997658079625,4487,12,0,4499,1547,6046,318,2,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RXG","NHS England North East And Yorkshire","South West Yorkshire Partnership NHS Foundation Trust",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,131,131,0,0,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
2025-03-01,"RTD","NHS England North East And Yorkshire","The Newcastle Upon Tyne Hospitals NHS Foundation Trust",12877,1781,6604,21262,4559,215,1,4775,0.645957909450959,0.775420938763992,3769,22,0,3791,2861,6652,562,37,"March 2025","March-2025-AE-by-provider-cAki3.xls",59
